phi the  : 1274
the yellow  : 3
yellow fairy  : 1
fairy book  : 1
book the  : 1
the cat  : 57
cat and  : 4
and the  : 866
the mouse  : 52
mouse in  : 3
in partnership  : 2
partnership a  : 1
a cat  : 8
cat had  : 5
had made  : 33
made acquaintance  : 1
acquaintance with  : 1
with a  : 310
a mouse  : 12
mouse ,  : 23
, and  : 4934
and had  : 74
had spoken  : 3
spoken so  : 1
so much  : 73
much of  : 9
of the  : 1520
the great  : 79
great love  : 2
love and  : 8
and friendship  : 1
friendship she  : 1
she felt  : 30
felt for  : 2
for her  : 68
her ,  : 155
, that  : 170
that at  : 12
at last  : 162
last the  : 22
mouse consented  : 1
consented to  : 4
to live  : 32
live in  : 12
in the  : 1325
the same  : 168
same house  : 2
house with  : 7
with her  : 109
and to  : 58
to go  : 166
go shares  : 1
shares in  : 1
the housekeeping  : 1
housekeeping .  : 1
phi `  : 1310
` but  : 88
but we  : 13
we must  : 34
must provide  : 1
provide for  : 2
for the  : 323
the winter  : 15
winter or  : 1
or else  : 10
else we  : 2
we shall  : 21
shall suffer  : 1
suffer hunger  : 2
hunger ,  : 4
, '  : 850
' said  : 373
said the  : 524
cat .  : 14
` you  : 127
you ,  : 177
, little  : 42
little mouse  : 6
, can  : 4
can not  : 61
not venture  : 3
venture everywhere  : 1
everywhere in  : 2
in case  : 5
case you  : 2
you run  : 1
run at  : 2
last into  : 1
into a  : 105
a trap  : 6
trap .  : 7
. '  : 883
phi this  : 138
this good  : 2
good counsel  : 1
counsel was  : 1
was followed  : 2
followed ,  : 5
and a  : 162
a little  : 314
little pot  : 6
pot of  : 7
of fat  : 7
fat was  : 1
was bought  : 1
bought .  : 1
phi but  : 640
but they  : 62
they did  : 38
did not  : 297
not know  : 52
know where  : 16
where to  : 6
to put  : 36
put it  : 32
it .  : 315
phi at  : 155
at length  : 19
length ,  : 5
, after  : 44
after long  : 3
long consultation  : 1
consultation ,  : 1
, the  : 417
cat said  : 2
said ,  : 237
' i  : 134
i know  : 89
know of  : 7
of no  : 12
no place  : 7
place where  : 18
where it  : 14
it could  : 13
could be  : 38
be better  : 5
better put  : 1
put than  : 1
than in  : 4
the church  : 26
church .  : 9
phi no  : 66
no one  : 86
one will  : 5
will trouble  : 1
trouble to  : 4
to take  : 65
take it  : 9
it away  : 9
away from  : 52
from there  : 1
there .  : 83
phi we  : 95
we will  : 45
will hide  : 2
hide it  : 2
it in  : 60
in a  : 421
a corner  : 6
corner ,  : 10
and we  : 48
we wo  : 7
wo n't  : 105
n't touch  : 3
touch it  : 2
it till  : 4
till we  : 8
we are  : 50
are in  : 13
in want  : 2
want .  : 6
phi so  : 245
so the  : 47
the little  : 175
pot was  : 3
was placed  : 1
placed in  : 4
in safety  : 9
safety ;  : 1
; but  : 253
but it  : 117
it was  : 597
was not  : 146
not long  : 15
long before  : 8
before the  : 55
had a  : 112
a great  : 162
great longing  : 3
longing for  : 4
for it  : 64
it ,  : 301
and said  : 152
said to  : 127
to the  : 957
i wanted  : 9
wanted to  : 51
to tell  : 59
tell you  : 69
that my  : 10
my cousin  : 3
cousin has  : 1
has a  : 22
little son  : 8
son ,  : 31
, white  : 5
white with  : 4
with brown  : 2
brown spots  : 1
spots ,  : 1
and she  : 175
she wants  : 3
wants me  : 3
me to  : 36
to be  : 408
be godmother  : 2
godmother to  : 1
to it  : 57
phi let  : 37
let me  : 43
me go  : 8
go out  : 28
out to-day  : 1
to-day ,  : 6
and do  : 17
do you  : 119
you take  : 6
take care  : 12
care of  : 14
the house  : 82
house alone  : 2
alone .  : 22
` yes  : 45
yes ,  : 87
, go  : 13
go certainly  : 1
certainly ,  : 12
' replied  : 33
replied the  : 24
, `  : 529
` and  : 91
and when  : 141
when you  : 37
you eat  : 2
eat anything  : 2
anything good  : 1
good ,  : 25
, think  : 1
think of  : 50
of me  : 27
me ;  : 13
; i  : 44
i should  : 70
should very  : 4
very much  : 61
much like  : 12
like a  : 114
a drop  : 8
drop of  : 8
the red  : 22
red christening  : 1
christening wine  : 1
wine .  : 1
was all  : 48
all untrue  : 1
untrue .  : 1
had no  : 53
no cousin  : 1
cousin ,  : 4
had not  : 80
not been  : 13
been asked  : 4
asked to  : 3
godmother .  : 3
phi she  : 562
she went  : 85
went straight  : 10
straight to  : 11
church ,  : 13
, slunk  : 1
slunk to  : 1
fat ,  : 6
, began  : 3
began to  : 158
to lick  : 1
lick it  : 1
and licked  : 3
licked the  : 1
the top  : 46
top off  : 3
off .  : 28
phi then  : 443
then she  : 80
she took  : 32
took a  : 23
a walk  : 1
walk on  : 2
on the  : 646
the roofs  : 3
roofs of  : 3
the town  : 31
town ,  : 8
, looked  : 8
looked at  : 70
at the  : 468
the view  : 3
view ,  : 2
, stretched  : 1
stretched herself  : 2
herself out  : 5
out in  : 33
the sun  : 71
sun ,  : 10
licked her  : 1
her lips  : 11
lips whenever  : 1
whenever she  : 2
she thought  : 43
thought of  : 40
fat .  : 2
phi as  : 142
as soon  : 100
soon as  : 99
as it  : 65
was evening  : 3
evening she  : 5
went home  : 17
home again  : 10
again .  : 131
` ah  : 19
ah ,  : 18
, here  : 14
here you  : 2
you are  : 135
are again  : 1
again !  : 26
! '  : 703
phi said  : 407
mouse ;  : 4
; `  : 112
you must  : 111
must certainly  : 2
certainly have  : 2
have had  : 11
had an  : 13
an enjoyable  : 1
enjoyable day  : 1
day .  : 44
` it  : 100
it went  : 9
went off  : 19
off very  : 1
very well  : 33
well ,  : 185
' answered  : 36
answered the  : 39
` what  : 101
what was  : 46
was the  : 173
the child  : 28
child 's  : 8
's name  : 7
name ?  : 3
? '  : 369
phi asked  : 66
asked the  : 47
mouse .  : 6
` top  : 1
off ,  : 46
cat drily  : 1
drily .  : 3
` topoff  : 2
topoff !  : 2
phi echoed  : 1
echoed the  : 1
it is  : 307
is indeed  : 5
indeed a  : 3
a wonderful  : 12
wonderful and  : 2
and curious  : 1
curious name  : 1
name .  : 11
phi is  : 13
is it  : 36
in your  : 27
your family  : 4
family ?  : 1
what is  : 63
is there  : 12
there odd  : 1
odd about  : 1
about it  : 66
it ?  : 51
is not  : 64
not worse  : 1
worse than  : 9
than breadthief  : 1
breadthief ,  : 1
, as  : 284
as your  : 2
your godchild  : 1
godchild is  : 1
is called  : 3
called .  : 4
phi not  : 18
long after  : 6
after this  : 15
this another  : 1
another great  : 1
longing came  : 1
came over  : 14
over the  : 135
she said  : 186
must again  : 1
again be  : 1
be kind  : 4
kind enough  : 3
enough to  : 61
to look  : 67
look after  : 14
after the  : 48
alone ,  : 24
, for  : 398
for i  : 32
i have  : 242
have been  : 98
asked a  : 3
a second  : 14
second time  : 7
time to  : 58
to stand  : 11
stand godmother  : 3
godmother ,  : 2
and as  : 94
as this  : 9
this child  : 5
child has  : 3
a white  : 16
white ring  : 1
ring round  : 1
round its  : 2
its neck  : 3
neck ,  : 16
, i  : 412
i can  : 127
not refuse  : 4
refuse .  : 3
the kind  : 11
kind mouse  : 1
mouse agreed  : 1
agreed ,  : 3
, but  : 892
but the  : 226
cat slunk  : 1
slunk under  : 1
under the  : 79
town wall  : 1
wall to  : 1
and ate  : 8
ate up  : 4
up half  : 1
half of  : 8
the pot  : 13
` nothing  : 8
nothing tastes  : 1
tastes better  : 1
better ,  : 4
said she  : 23
she ,  : 21
` than  : 5
than what  : 3
what one  : 1
one eats  : 2
eats by  : 1
by oneself  : 1
oneself ,  : 1
' and  : 26
she was  : 336
was very  : 110
much pleased  : 4
pleased with  : 10
her day  : 2
day 's  : 12
's work  : 11
work .  : 28
phi when  : 305
when she  : 125
she came  : 36
came home  : 11
home the  : 6
mouse asked  : 2
asked ,  : 9
was this  : 9
child called  : 1
called ?  : 1
` half  : 1
half gone  : 1
gone ,  : 16
` halfgone  : 1
halfgone !  : 2
phi what  : 89
what a  : 63
a name  : 4
name !  : 1
phi i  : 921
have never  : 17
never heard  : 17
heard it  : 14
in my  : 69
my life  : 21
life .  : 58
i do  : 187
do n't  : 324
n't believe  : 14
believe it  : 10
is in  : 27
the calendar  : 2
calendar .  : 1
phi soon  : 12
soon the  : 9
cat 's  : 3
's mouth  : 6
mouth began  : 1
to water  : 2
water once  : 1
once more  : 60
more after  : 1
after her  : 11
her licking  : 1
licking business  : 1
business .  : 8
` all  : 7
all good  : 3
good things  : 8
things in  : 13
in threes  : 1
threes ,  : 1
' she  : 60
; '  : 27
have again  : 1
again to  : 16
child is  : 1
is quite  : 10
quite black  : 2
black ,  : 2
and has  : 5
has very  : 2
very white  : 4
white paws  : 1
paws ,  : 4
but not  : 10
not a  : 68
a single  : 31
single white  : 1
white hair  : 1
hair on  : 1
on its  : 8
its body  : 3
body .  : 8
this only  : 1
only happens  : 1
happens once  : 1
once in  : 9
in two  : 18
two years  : 14
years ,  : 31
, so  : 207
so you  : 12
you will  : 120
will let  : 7
out ?  : 2
phi halfgone  : 1
phi repeated  : 4
repeated the  : 5
` they  : 24
they are  : 76
are such  : 2
such curious  : 1
curious names  : 1
names ;  : 1
; they  : 20
they make  : 3
make me  : 6
me very  : 4
very thoughtful  : 2
thoughtful .  : 2
` oh  : 67
oh ,  : 173
, you  : 206
you sit  : 1
sit at  : 2
at home  : 22
home in  : 10
your dark  : 1
dark grey  : 2
grey coat  : 1
coat and  : 2
and your  : 20
your long  : 3
long tail  : 5
tail ,  : 18
cat ,  : 19
and you  : 63
you get  : 13
get fanciful  : 1
fanciful .  : 1
phi that  : 111
that comes  : 4
comes of  : 4
of not  : 1
not going  : 16
going out  : 4
the day  : 58
mouse had  : 4
a good  : 84
good cleaning  : 1
cleaning out  : 1
out while  : 1
while the  : 52
cat was  : 4
was gone  : 17
and made  : 44
made the  : 26
house tidy  : 1
tidy ;  : 1
the greedy  : 1
greedy cat  : 1
cat ate  : 1
ate the  : 3
the fat  : 5
fat every  : 1
every bit  : 5
bit up  : 1
up .  : 53
` when  : 9
when it  : 42
is all  : 33
all gone  : 2
gone one  : 1
one can  : 10
can be  : 19
be at  : 11
at rest  : 3
rest ,  : 11
to herself  : 58
herself ,  : 43
and at  : 61
at night  : 27
night she  : 8
home sleek  : 1
sleek and  : 2
and satisfied  : 1
satisfied .  : 1
asked at  : 1
at once  : 152
once after  : 1
the third  : 39
third child  : 2
it wo  : 6
n't please  : 1
please you  : 3
you any  : 4
any better  : 4
` he  : 31
he was  : 582
was called  : 8
called clean  : 1
clean gone  : 1
gone .  : 12
` cleangone  : 1
cleangone !  : 2
do not  : 64
not believe  : 15
believe that  : 12
that name  : 1
name has  : 1
has been  : 27
been printed  : 1
printed any  : 1
any more  : 38
more than  : 77
than the  : 37
the others  : 41
others .  : 12
phi cleangone  : 1
what can  : 11
can it  : 1
it mean  : 1
mean ?  : 6
she shook  : 3
shook her  : 7
her head  : 54
head ,  : 49
, curled  : 2
curled herself  : 1
herself up  : 8
up ,  : 87
and went  : 94
went to  : 97
to sleep  : 42
sleep .  : 20
phi from  : 24
from this  : 15
this time  : 63
time on  : 3
on no  : 2
one asked  : 1
cat to  : 1
godmother ;  : 2
but when  : 58
when the  : 249
winter came  : 3
came and  : 14
and there  : 87
there was  : 300
was nothing  : 33
nothing to  : 24
be got  : 5
got outside  : 1
outside ,  : 11
mouse remembered  : 1
remembered their  : 1
their provision  : 1
provision and  : 1
` come  : 29
come ,  : 37
, cat  : 1
, we  : 44
will go  : 30
go to  : 80
to our  : 9
our pot  : 1
fat which  : 1
which we  : 3
we have  : 40
have stored  : 1
stored away  : 1
away ;  : 5
; it  : 27
it will  : 30
will taste  : 2
taste very  : 1
very good  : 19
good .  : 23
, indeed  : 13
indeed ,  : 27
cat ;  : 2
taste as  : 1
as good  : 15
good to  : 12
to you  : 59
you as  : 10
as if  : 149
if you  : 213
you stretched  : 1
stretched your  : 1
your thin  : 1
thin tongue  : 1
tongue out  : 3
out of  : 339
the window  : 55
window .  : 15
phi they  : 268
they started  : 9
started off  : 10
when they  : 104
they reached  : 22
reached it  : 5
it they  : 4
they found  : 12
found the  : 19
pot in  : 2
in its  : 14
its place  : 2
place ,  : 24
but quite  : 2
quite empty  : 2
empty !  : 1
' `  : 28
` now  : 51
now i  : 34
know what  : 45
what has  : 7
has happened  : 3
happened !  : 1
phi it  : 405
it has  : 18
has all  : 3
all come  : 4
come out  : 24
out !  : 7
phi you  : 177
are a  : 21
a true  : 13
true friend  : 1
friend to  : 2
to me  : 108
me !  : 37
you have  : 99
have eaten  : 3
eaten it  : 1
it all  : 47
all when  : 1
you stood  : 2
stood godmother  : 1
; first  : 2
first the  : 4
, then  : 74
then half  : 1
of it  : 142
it gone  : 1
then --  : 12
-- '  : 54
` will  : 6
will you  : 34
you be  : 5
be quiet  : 2
quiet !  : 1
phi screamed  : 5
screamed the  : 5
` another  : 1
another word  : 4
word and  : 1
and i  : 250
i will  : 208
will eat  : 2
eat you  : 2
you up  : 8
` clean-gone  : 1
clean-gone '  : 1
' was  : 7
was already  : 10
already on  : 1
the poor  : 71
poor mouse  : 1
mouse 's  : 2
's tongue  : 2
tongue ,  : 11
and scarcely  : 2
scarcely was  : 1
was it  : 12
it out  : 31
out than  : 1
cat made  : 1
made a  : 39
a spring  : 1
spring at  : 1
at her  : 65
, seized  : 10
seized and  : 2
and swallowed  : 1
swallowed her  : 2
her .  : 171
you see  : 66
see that  : 34
that is  : 127
is the  : 107
the way  : 83
way of  : 37
the world  : 125
world .  : 41
the six  : 8
six swans  : 3
swans a  : 1
a king  : 24
king was  : 29
was once  : 21
once hunting  : 1
hunting in  : 3
great wood  : 4
wood ,  : 28
and he  : 357
he hunted  : 3
hunted the  : 1
the game  : 16
game so  : 1
so eagerly  : 2
eagerly that  : 2
that none  : 2
none of  : 26
of his  : 249
his courtiers  : 7
courtiers could  : 1
could follow  : 1
follow him  : 2
him .  : 260
when evening  : 4
evening came  : 3
came on  : 11
on he  : 5
he stood  : 21
stood still  : 12
still and  : 13
and looked  : 56
looked round  : 6
round him  : 15
him ,  : 328
he saw  : 109
saw that  : 43
that he  : 386
he had  : 558
had quite  : 9
quite lost  : 1
lost himself  : 2
himself .  : 38
phi he  : 947
he sought  : 3
sought a  : 1
a way  : 9
way out  : 14
out ,  : 82
but could  : 8
could find  : 19
find none  : 1
none .  : 3
then he  : 144
saw an  : 2
an old  : 58
old woman  : 64
woman with  : 9
a shaking  : 2
shaking head  : 1
head coming  : 1
coming towards  : 6
towards him  : 13
him ;  : 28
but she  : 130
was a  : 354
a witch  : 6
witch .  : 12
` good  : 9
good woman  : 3
woman ,  : 36
' he  : 55
he said  : 218
to her  : 206
` can  : 7
can you  : 15
you not  : 13
not show  : 3
show me  : 2
me the  : 17
the wood  : 64
wood ?  : 3
, certainly  : 13
, sir  : 32
sir king  : 1
king ,  : 83
she replied  : 4
replied ,  : 23
can quite  : 3
quite well  : 6
well do  : 3
do that  : 19
that ,  : 96
but on  : 15
on one  : 27
one condition  : 2
condition ,  : 5
, which  : 194
which if  : 1
you do  : 78
not fulfil  : 1
fulfil you  : 1
will never  : 17
never get  : 7
get out  : 24
and will  : 20
will die  : 6
die of  : 6
of hunger  : 7
hunger .  : 5
the condition  : 3
condition ?  : 1
the king  : 447
king .  : 29
have a  : 72
a daughter  : 4
daughter ,  : 26
the old  : 241
` who  : 17
who is  : 25
is so  : 23
so beautiful  : 12
beautiful that  : 4
that she  : 172
she has  : 33
has not  : 13
not her  : 3
her equal  : 1
equal in  : 1
world ,  : 35
and is  : 7
is well  : 5
well fitted  : 1
fitted to  : 3
be your  : 3
your wife  : 2
wife ;  : 2
; if  : 15
will make  : 17
make her  : 8
her lady-queen  : 1
lady-queen i  : 1
will show  : 5
show you  : 12
you the  : 23
wood .  : 27
king in  : 5
in his  : 225
his anguish  : 1
anguish of  : 2
of mind  : 4
mind consented  : 1
consented ,  : 5
woman led  : 1
led him  : 10
him to  : 132
her little  : 15
little house  : 8
house where  : 6
where her  : 4
her daughter  : 29
daughter was  : 9
was sitting  : 35
sitting by  : 3
by the  : 236
the fire  : 47
fire .  : 10
she received  : 5
received the  : 6
king as  : 1
if she  : 60
she were  : 14
were expecting  : 1
expecting him  : 2
was certainly  : 8
certainly very  : 1
very beautiful  : 10
beautiful ;  : 2
she did  : 67
not please  : 2
please him  : 1
he could  : 234
could not  : 176
not look  : 10
look at  : 58
her without  : 2
without a  : 25
a secret  : 7
secret feeling  : 1
feeling of  : 3
